,cor,pval_cor,beta,pval_beta,pval.adj,em_beta,ratio
MRC1,0,0,0,0,0,9.48683297990023e-09,9.48683298042685e-07
CLB5,0,0,0,0,0,2.9514591495461e-08,2.36643191326202e-06
ASF1,0,0,0,0,0,7.24568837313548e-08,4.0345728123124e-06
CKB1,0,0,0,0,0,6.3245553202992e-09,9.48683298042685e-07
RTR1,0,0,0,0,0,4.85455112923808e-08,4.21637021358546e-06
CKB2,0,0,0,0,0,3.1622776601496e-09,6.32455532016754e-07
ELG1,0,0,0,0,0,1.26491106405984e-08,9.48683298042685e-07
DUN1,0,0,0,0,0,1.15950180872152e-08,1.44913767460699e-06
CTF8,0,0,0,0,0,1.26491106405984e-08,1.26491106406862e-06
RTT109,0,0,0,0,0,2.635231383458e-08,4.44222166637316e-06
CTF18,0,0,0,0,0,2.11081869318581e-08,2.41522945771406e-06
DCC1,0,0,0,0,0,4.2163702135328e-09,2.52982212816064e-06
HHT1,0,0,0,0,0,0,0
CHA4,0,0,0,0,0,0,0
SWI6,0,0,0,0,0,1.73912493960347e-07,4.78539444562531e-06
HOS4,0,0,0,0,0,0,0
RNR4,0,0,0,0,0,4.83045891536779e-08,2.41522945766043e-06
NPT1,0,0,0,0,0,5.67646212194176e-09,4.83045891499909e-07
SIR2,0,0,0,0,0,4.83045891536779e-09,0
LEO1,0,0,0,0,0,4.21637021356937e-08,2.10818510674592e-06
ZWF1,0,0,0,0,0,0,0
HER2,0,0,0,0,0,0,1.15470053838041e-06
HHF1,0,0,0,0,0,5.16397779491255e-09,0
