"","cor","pval_cor","beta","pval_beta","pval.adj","em_beta","ratio"
"MRC1","-0.2287307","3.18658e-68","-0.02018596","3.18658e-68"," 64.65220","-0.02029983","0.87860950"
"CLB5","-0.1505078","1.07544e-30","-0.01572737","1.07544e-30"," 27.12394","-0.01588902","0.89521145"
"ASF1","-0.1366946","6.59047e-25","-0.02230807","6.59047e-25"," 21.33661","-0.02250546","0.85681052"
"CKB1","-0.1297060","5.91945e-23","-0.01383439","5.91945e-23"," 19.38324","-0.01375455","0.90910127"
"SLX8"," 0.9998379","0.00000e+00"," 0.01661264","8.82470e-19","350.00000"," 0.01656414","0.00164151"
"RTR1"," 0.0936362","7.47180e-13"," 0.01045737","7.47185e-13","  9.28210"," 0.01002924","0.89580089"
"CKB2","-0.0927289","1.74927e-12","-0.01228527","1.74927e-12","  8.91267","-0.01226884","0.90998369"
"ELG1","-0.0905974","4.76436e-12","-0.00629274","4.76436e-12","  8.47752","-0.00635713","0.91650034"
"DUN1","-0.0884099","2.41872e-11","-0.00814206","2.41872e-11","  7.77194","-0.00810234","0.89208627"
"CTF8","-0.0813608","6.00848e-10","-0.00710575","6.00848e-10","  6.37676","-0.00708126","0.89692139"
"RTT109","-0.0843915","8.81737e-10","-0.01430522","8.81737e-10","  6.21018","-0.01475717","0.78579653"
"CTF18","-0.0804275","2.26827e-09","-0.00895224","2.26827e-09","  5.79983","-0.00914766","0.83730874"
"DCC1","-0.0786102","3.93812e-09","-0.00854544","3.93812e-09","  5.56023","-0.00849246","0.85024275"
"HHT1","-0.0768836","4.03162e-09","-0.00502138","4.03162e-09","  5.55004","-0.00502238","0.91506714"
"CHA4","-0.0730181","1.43679e-08","-0.00442431","1.43679e-08","  4.99813","-0.00446717","0.97954343"
"SWI6","-0.0733822","6.55360e-08","-0.01231535","6.55360e-08","  4.33904","-0.01218793","0.80060292"
"HOS4","-0.0704283","7.19330e-08","-0.00540758","7.19330e-08","  4.29859","-0.00559970","0.91795211"
"RNR4","-0.0708045","1.13295e-07","-0.01312264","1.13295e-07","  4.10131","-0.01249600","0.85314891"
"NPT1","-0.0665140","4.43009e-07","-0.00497100","4.43009e-07","  3.50911","-0.00517312","0.92379211"
"SIR2","-0.0620084","1.97054e-06","-0.00707183","1.97054e-06","  2.86094","-0.00682324","0.95014188"
"LEO1"," 0.0617341","2.49359e-06"," 0.00770275","2.49359e-06","  2.75870"," 0.00742370","0.90513217"
"ZWF1","-0.0611715","2.99912e-06","-0.00699505","2.99912e-06","  2.67853","-0.00701829","0.92366157"
"HER2","-0.0608945","4.72120e-06","-0.00302140","4.72120e-06","  2.48147","-0.00312453","0.87727447"
"HHF1","-0.0579828","9.17651e-06","-0.00442435","9.17651e-06","  2.19285","-0.00431878","0.91505829"
