"","cor","beta","pval_beta","adjp_beta","ratio"
"PFK2","-0.1068006","-0.02190945","1.16881e-11","8.12675","0.835361"
"TSL1","-0.1029788","-0.01849003","3.23061e-11","7.68522","0.798492"
"RIM1","-0.1008873","-0.01841789","1.99330e-10","6.89493","0.865362"
"VPS8","-0.0942868","-0.01532602","1.57111e-09","5.99829","0.827176"
"PTC1","-0.0914944","-0.01727287","1.92259e-09","5.91061","0.792154"
"ACO1","-0.0895769","-0.02223263","2.65129e-09","5.77104","0.804545"
"TLC1","-0.0939900","-0.02185675","4.12352e-09","5.57923","0.755808"
"CST6","-0.0937905","-0.02064204","6.50213e-09","5.38144","0.804156"
"HSE1","-0.0896435","-0.01668394","8.49441e-09","5.26537","0.819594"
"SLX8","-0.0821736","-0.01961268","1.68123e-08","4.96887","0.909565"
"SIS2","-0.0882010","-0.01399505","1.78297e-08","4.94336","0.762160"
"RNR4","-0.0842999","-0.01399364","5.48613e-08","4.45523","0.816217"
"MMS22","-0.0853711","-0.01205959","9.86416e-08","4.20044","0.779501"
"SRV2","-0.0815773","-0.02062460","1.19641e-07","4.11662","0.799224"
"GAL11","-0.0838137","-0.01918252","1.36092e-07","4.06067","0.804720"
"URC2","-0.0805020","-0.00777214","1.73834e-07","3.95437","0.894209"
"RAM1","-0.0832048","-0.02570355","2.07634e-07","3.87720","0.814371"
"REG1","-0.0776917","-0.01917808","3.08370e-07","3.70543","0.833605"
"PFK27","-0.0763814","-0.01317488","4.88509e-07","3.50563","0.810193"
"SLX5","-0.0755902","-0.01795586","5.87305e-07","3.42564","0.831927"
"CCE1","-0.0750215","-0.00826657","1.01226e-06","3.18921","0.800839"
"DOC1","-0.0774362","-0.01307166","1.22879e-06","3.10502","0.846767"
