"","cor","pval_beta","pval.adj","em_beta","ratio","NA","NA"
"MRC1","-0.2222268","4.43858e-65","-0.02024903","4.43858e-65","61.50828","-0.02047466","0.892106"
"CLB5","-0.1525690","1.42859e-31","-0.01602677","1.42859e-31","28.00061","-0.01598245","0.899291"
"ASF1","-0.1356236","4.57941e-25","-0.02342939","4.57941e-25","21.49471","-0.02332774","0.883717"
"CKB1","-0.1264330","5.99218e-22","-0.01364144","5.99218e-22","18.37794","-0.01365862","0.911039"
"CKB2","-0.0949001","5.23627e-13","-0.01257704","5.23627e-13"," 9.43650","-0.01224108","0.912356"
"RTR1"," 0.0918698","1.98885e-12"," 0.01025876","1.98883e-12"," 8.85692"," 0.00984785","0.895637"
"ELG1","-0.0914055","2.96971e-12","-0.00637524","2.96971e-12"," 8.68281","-0.00636724","0.917642"
"DUN1","-0.0908338","5.40252e-12","-0.00864130","5.40252e-12"," 8.42293","-0.00841783","0.902806"
"RTT109","-0.0879683","1.75800e-10","-0.01477382","1.75800e-10"," 6.91050","-0.01530344","0.785130"
"CTF8","-0.0829321","2.71930e-10","-0.00727066","2.71930e-10"," 6.72107","-0.00706330","0.898817"
"HHT1","-0.0778634","2.54413e-09","-0.00508738","2.54413e-09"," 5.74998","-0.00503157","0.914818"
"CTF18","-0.0779998","4.49401e-09","-0.00924258","4.49401e-09"," 5.50289","-0.00966451","0.862249"
"CHA4","-0.0727545","1.61044e-08","-0.00441759","1.61044e-08"," 4.94858","-0.00450589","0.979618"
"DCC1","-0.0743763","2.02336e-08","-0.00838748","2.02336e-08"," 4.84945","-0.00862538","0.866316"
"SWI6","-0.0749723","2.79214e-08","-0.01289131","2.79214e-08"," 4.70959","-0.01329971","0.816459"
"HOS4","-0.0714086","4.51592e-08","-0.00553467","4.51592e-08"," 4.50078","-0.00555569","0.921005"
"NPT1","-0.0679408","2.42465e-07","-0.00512035","2.42465e-07"," 3.77087","-0.00531933","0.924841"
"RNR4","-0.0671218","4.37945e-07","-0.01273506","4.37945e-07"," 3.51410","-0.01279958","0.865160"
"LEO1"," 0.0657816","5.09321e-07"," 0.00825694","5.09321e-07"," 3.44853"," 0.00735269","0.906862"
"ZWF1","-0.0633242","1.28932e-06","-0.00729677","1.28932e-06"," 3.04516","-0.00704850","0.926566"
"ENV11","-0.0616828","3.20069e-06","-0.00752191","3.20069e-06"," 2.65028","-0.00687254","0.861306"
"SIR2","-0.0604350","3.54704e-06","-0.00690528","3.54704e-06"," 2.60566","-0.00676710","0.950246"
"HER2","-0.0610307","4.40842e-06","-0.00304577","4.40842e-06"," 2.51124","-0.00317069","0.879941"
"HST1","-0.0570089","1.29636e-05","-0.00627622","1.29636e-05"," 2.04280","-0.00605343","0.943085"
